114/12/04,一、日期 ： 中華民國114年12月3日（星期三）0600時至12月4日（星期四）0600時止。 二、活動動態： 迄0600時止，偵獲共機8架次（進入西南空域2架次）及共艦5艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/04/12,中共解放軍臺海周邊海、空域動態 發布時間：112年4月12日0900時 一、日期： 中華民國112年4月11日（星期二）0600時至4月12日（星期三）0600時止。 二、活動動態： 迄0600時止，偵獲共機35架次(其中逾越海峽中線及其延伸線進入西南空域15架次)、共艦8艘次。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/04/11,中共解放軍臺海周邊海、空域動態 發布時間：112年4月11日0900時 一、日期： 中華民國112年4月10日（星期一）0600時至4月11日（星期二）0600時止。 二、活動動態： 迄0600時止，偵獲共機91架次(其中逾越海峽中線及其延伸線進入西南及東南空域54架次)、共艦12艘次（目前尚有8艘持續在臺灣周邊海域活動）。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/04/10,中共解放軍臺海周邊海、空域動態 發布時間：112年4月10日0900時 一、日期： 中華民國112年4月9日（星期日）0600時至4月10日（星期一）0600時止。 二、活動動態： 迄0600時止，偵獲共機70架次(其中逾越海峽中線及其延伸線進入西南及東南空域35架次)、共艦11艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/04/09,中共解放軍臺海周邊海、空域動態 發布時間：112年4月9日0900時 一、日期： 中華民國112年4月8日（星期六）0600時至4月9日（星期日）0600時止。 二、活動動態： 迄0600時止，偵獲共機71架次(其中逾越海峽中線及其延伸線進入西南空域45架次)、共艦9艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/04/08,中共解放軍臺海周邊海、空域動態 發布時間：112年4月8日0900時 一、日期： 中華民國112年4月7日（星期五）0600時至4月8日（星期六）0600時止。 二、活動動態： 迄0600時止，偵獲共機13架次(其中逾越海峽中線及其延伸線進入西南空域4架次)、共艦3艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/04/07,中共解放軍臺海周邊海、空域動態 發布時間：112年4月7日0900時 一、日期： 中華民國112年4月6日（星期四）0600時至4月7日（星期五）0600時止。 二、活動動態： 迄0600時止，偵獲共機2架次(其中進入西南空域2架次)、共艦3艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/04/06,一、日期： 中華民國112年4月5日（星期三）0600時至4月6日（星期四）0600時止。 二、活動動態： 迄0600時止，偵獲共機1架次(其中進入西南空域1架次)、共艦3艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/04/05,一、日期： 中華民國112年4月4日（星期二）0600時至4月5日（星期三）0600時止。 二、活動動態： 迄0600時止，偵獲共機14架次(其中進入西南空域2架次)、共艦3艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/04/04,中共解放軍臺海周邊海、空域動態 發布時間：112年4月4日0900時 一、日期： 中華民國112年4月3日（星期一）0600時至4月4日（星期二）0600時止。 二、活動動態： 迄0600時止，偵獲共機20架次(其中逾越海峽中線及其延伸線進入西南空域9架次)、共艦3艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/04/03,中共解放軍臺海周邊海、空域動態 發布時間：112年4月3日0900時 一、日期： 中華民國112年4月2日（星期日）0600時至4月3日（星期一）0600時止。 二、活動動態： 迄0600時止，偵獲共機5架次、共艦4艘次，持續在臺海周邊活動。國軍運用任務艦及岸置飛彈系統嚴密監控與應處。 三、上述期間共機無逾越海峽中線及西南空域，故無提供航跡圖。
112/04/02,中共解放軍臺海周邊海、空域動態 發布時間：112年4月2日0900時 一、日期： 中華民國112年4月1日（星期六）0600時至4月2日（星期日）0600時止。 二、活動動態： 迄0600時止，偵獲共機10架次(其中進入西南空域4架次)、共艦3艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/04/01,中共解放軍臺海周邊海、空域動態 發布時間：112年4月1日0900時 一、日期： 中華民國112年3月31日（星期五）0600時至4月1日（星期六）0600時止。 二、活動動態： 迄0600時止，偵獲共機18架次(其中逾越海峽中線10架次)、共艦4艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/03/31,中共解放軍臺海周邊海、空域動態 發布時間：112年3月31日0900時 一、日期： 中華民國112年3月30日（星期四）0600時至3月31日（星期五）0600時止。 二、活動動態： 迄0600時止，偵獲共機2架次、共艦3艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。 三、上述期間共機無逾越海峽中線及西南空域，故無提供航跡圖。
112/03/30,中共解放軍臺海周邊海、空域動態 發布時間：112年3月30日0900時 一、日期： 中華民國112年3月29日（星期三）0600時至3月30日（星期四）0600時止。 二、活動動態： 迄0600時止，偵獲共艦4艘次，持續在臺海周邊活動。國軍運用任務艦及岸置飛彈系統嚴密監控與應處。 三、上述期間共機無逾越海峽中線及西南空域，故無提供航跡圖。
112/03/29,中共解放軍臺海周邊海、空域動態 發布時間：112年3月29日0900時 一、日期： 中華民國112年3月28日（星期二）0600時至3月29日（星期三）0600時止。 二、活動動態： 迄0600時止，偵獲共機16架次(其中進入西南空域11架次)、共艦4艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/03/28,中共解放軍臺海周邊海、空域動態 發布時間：112年3月28日0900時 一、日期： 中華民國112年3月27日（星期一）0600時至3月28日（星期二）0600時止。 二、活動動態： 迄0600時止，偵獲共機9架次(其中逾越海峽中線及其延伸線進入西南空域3架次)、共艦4艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/03/27,中共解放軍臺海周邊海、空域動態 發布時間：112年3月27日0900時 一、日期： 中華民國112年3月26日（星期日）0600時至3月27日（星期一）0600時止。 二、活動動態： 迄0600時止，偵獲共艦4艘次，持續在臺海周邊活動。國軍運用任務艦及岸置飛彈系統嚴密監控與應處。 三、上述期間共機無逾越海峽中線及西南空域，故無提供航跡圖。
112/03/26,中共解放軍臺海周邊海、空域動態 發布時間：112年3月26日0900時 一、日期： 中華民國112年3月25日（星期六）0600時至3月26日（星期日）0600時止。 二、活動動態： 迄0600時止，偵獲共艦4艘次，持續在臺海周邊活動。國軍運用任務艦及岸置飛彈系統嚴密監控與應處。 三、上述期間共機無逾越海峽中線及西南空域，故無提供航跡圖。
112/03/25,中共解放軍臺海周邊海、空域動態 發布時間：112年3月25日0900時 一、日期： 中華民國112年3月24日（星期五）0600時至3月25日（星期六）0600時止。 二、活動動態： 迄0600時止，偵獲共機1架次(其中進入東南空域1架次)、共艦3艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/03/24,中共解放軍臺海周邊海、空域動態 發布時間：112年3月24日0900時 一、日期： 中華民國112年3月23日（星期四）0600時至3月24日（星期五）0600時止。 二、活動動態： 迄0600時止，偵獲共機6架次、共艦3艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。 三、上述期間共機無逾越海峽中線及西南空域，故無提供航跡圖。
112/03/23,一、日期： 中華民國112年3月22日（星期三）0600時至3月23日（星期四）0600時止。 二、活動動態： 迄0600時止，偵獲共機8架次(其中進入東南空域1架次)、共艦3艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/03/22,中共解放軍臺海周邊海、空域動態 發布時間：112年3月22日0900時 一、日期： 中華民國112年3月21日（星期二）0600時至3月22日（星期三）0600時止。 二、活動動態： 迄0600時止，偵獲共機9架次(其中進入西南空域2架次)、共艦4艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/03/21,中共解放軍臺海周邊海、空域動態 發布時間：112年3月21日0900時 一、日期： 中華民國112年3月20日（星期一）0600時至3月21日（星期二）0600時止。 二、活動動態： 迄0600時止，偵獲共機10架次(其中進入西南及東南空域3架次)、共艦2艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/03/20,一、日期： 中華民國112年3月19日（星期日）0600時至3月20日（星期一）0600時止。 二、活動動態： 迄0600時止，偵獲共機10架次、共艦3艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。 三、上述期間共機無逾越海峽中線及西南空域，故無提供航跡圖。
112/03/19,一、日期： 中華民國112年3月18日（星期六）0600時至3月19日（星期日）0600時止。 二、活動動態： 迄0600時止，偵獲共機6架次(其中進入西南及東南空域2架次)、共艦4艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/03/18,一、日期： 中華民國112年3月17日（星期五）0600時至3月18日（星期六）0600時止。 二、活動動態： 迄0600時止，偵獲共機26架次(其中逾越海峽中線及其延伸線進入西南及東南空域15架次)、共艦4艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/03/17,中共解放軍臺海周邊海、空域動態 發布時間：112年3月17日0900時 一、日期： 中華民國112年3月16日（星期四）0600時至3月17日（星期五）0600時止。 二、活動動態： 迄0600時止，偵獲共機15架次(其中進入西南空域5架次)、共艦3艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/03/16,中共解放軍臺海周邊海、空域動態 發布時間：112年3月16日0900時 一、日期： 中華民國112年3月15日（星期三）0600時至3月16日（星期四）0600時止。 二、活動動態： 迄0600時止，偵獲共機19架次(其中逾越海峽中線及其延伸線進入西南空域3架次)、共艦4艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/03/15,中共解放軍臺海周邊海、空域動態 發布時間：112年3月15日0900時 一、日期： 中華民國112年3月14日（星期二）0600時至3月15日（星期三）0600時止。 二、活動動態： 迄0600時止，偵獲共機28架次(其中逾越海峽中線及其延伸線進入西南及東南空域16架次)、共艦4艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/03/14,一、日期： 中華民國112年3月13日（星期一）0600時至3月14日（星期二）0600時止。 二、活動動態： 迄0600時止，偵獲共機5架次、共艦4艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。 三、上述期間共機無逾越海峽中線及西南空域，故無提供航跡圖。
112/03/13,一、日期： 中華民國112年3月12日（星期日）0600時至3月13日（星期一）0600時止。 二、活動動態： 迄0600時止，偵獲共機7架次、共艦4艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。 三、上述期間共機無逾越海峽中線及西南空域，故無提供航跡圖。
112/03/12,一、日期： 中華民國112年3月11日（星期六）0600時至3月12日（星期日）0600時止。 二、活動動態： 迄0600時止，偵獲共機7架次、共艦3艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。 三、上述期間共機無逾越海峽中線及西南空域，故無提供航跡圖。
112/03/11,一、日期： 中華民國112年3月10日（星期五）0600時至3月11日（星期六）0600時止。 二、活動動態： 迄0600時止，偵獲共機11架次(其中逾越海峽中線及其延伸線進入西南空域4架次)、共艦4艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/03/10,一、日期： 中華民國112年3月9日（星期四）0600時至3月10日（星期五）0600時止。 二、活動動態： 迄0600時止，偵獲共機15架次(其中逾越海峽中線1架次)、共艦4艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/03/09,一、日期： 中華民國112年3月8日（星期三）0600時至3月9日（星期四）0600時止。 二、活動動態： 迄0600時止，偵獲共機11架次(其中逾越海峽中線及其延伸線進入西南空域5架次)、共艦4艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/03/08,一、日期： 中華民國112年3月7日（星期二）0600時至3月8日（星期三）0600時止。 二、活動動態： 迄0600時止，偵獲共機7架次、共艦3艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。 三、上述期間共機無逾越海峽中線及西南空域，故無提供航跡圖。
112/03/07,中共解放軍臺海周邊海、空域動態 發布時間：112年3月7日1000時 一、日期： 中華民國112年3月6日（星期一）0600時至3月7日（星期二）0600時止。 二、活動動態： 迄0600時止，偵獲共機5架次(其中進入西南空域1架次)、共艦4艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/03/06,中共解放軍臺海周邊海、空域動態 發布時間：112年3月6日0900時 一、日期： 中華民國112年3月5日（星期日）0600時至3月6日（星期一）0600時止。 二、活動動態： 迄0600時止，偵獲共機10架次(其中進入西南空域2架次)、共艦4艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/03/05,中共解放軍臺海周邊海、空域動態 發布時間：112年3月5日0900時 一、日期： 中華民國112年3月4日（星期六）0600時至3月5日（星期日）0600時止。 二、活動動態： 迄0600時止，偵獲共機13架次、共艦3艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。 三、上述期間共機無逾越海峽中線及西南空域，故無提供航跡圖。
112/03/04,中共解放軍臺海周邊海、空域動態 發布時間：112年3月4日0900時 一、日期： 中華民國112年3月3日（星期五）0600時至3月4日（星期六）0600時止。 二、活動動態： 迄0600時止，偵獲共機24架次(其中逾越海峽中線及其延伸線進入西南空域12架次)、共艦4艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/03/03,中共解放軍臺海周邊海、空域動態 發布時間：112年3月3日0900時 一、日期： 中華民國112年3月2日（星期四）0600時至3月3日（星期五）0600時止。 二、活動動態： 迄0600時止，偵獲共機9架次(其中進入西南空域4架次)、共艦3艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/03/02,中共解放軍臺海周邊海、空域動態 發布時間：112年3月2日0900時 一、日期： 中華民國112年3月1日（星期三）0600時至3月2日（星期四）0600時止。 二、活動動態： 迄0600時止，偵獲共機29架次(其中進入西南空域21架次)、共艦4艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/03/01,中共解放軍臺海周邊海、空域動態 發布時間：112年3月1日0900時 一、日期： 中華民國112年2月28日（星期二）0600時至3月1日（星期三）0600時止。 二、活動動態： 迄0600時止，偵獲共機25架次(其中進入西南空域19架次)、共艦3艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/02/28,中共解放軍臺海周邊海、空域動態 發布時間：112年2月28日0900時 一、日期： 中華民國112年2月27日（星期一）0600時至2月28日（星期二）0600時止。 二、活動動態： 迄0600時止，偵獲共機14架次(其中逾越海峽中線及其延伸線進入西南空域4架次)、共艦3艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/02/27,一、日期： 中華民國112年2月26日（星期日）0600時至2月27日（星期一）0600時止。 二、活動動態： 迄0600時止，偵獲共機4架次、共艦3艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。 三、上述期間共機無逾越海峽中線及西南空域，故無提供航跡圖。
112/02/26,一、日期： 中華民國112年2月25日（星期六）0600時至2月26日（星期日）0600時止。 二、活動動態： 迄0600時止，偵獲共機10架次(其中進入西南空域2架次)、共艦3艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/02/25,一、日期： 中華民國112年2月24日（星期五）0600時至2月25日（星期六）0600時止。 二、活動動態： 迄0600時止，偵獲共機9架次(其中進入西南空域2架次)、共艦3艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/02/24,一、日期： 中華民國112年2月23日（星期四）0600時至2月24日（星期五）0600時止。 二、活動動態： 迄0600時止，偵獲共機37架次(其中逾越海峽中線及其延伸線進入西南空域12架次)、共艦6艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/02/23,一、日期： 中華民國112年2月22日（星期三）0600時至2月23日（星期四）0600時止。 二、活動動態： 迄0600時止，偵獲共機13架次(其中逾越海峽中線及其延伸線進入西南空域5架次)、共艦3艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/02/22,一、日期： 中華民國112年2月21日（星期二）0600時至2月22日（星期三）0600時止。 二、活動動態： 迄0600時止，偵獲共機11架次(其中逾越海峽中線及其延伸線進入西南空域5架次)、共艦2艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/02/21,一、日期： 中華民國112年2月20日（星期一）0600時至2月21日（星期二）0600時止。 二、活動動態： 迄0600時止，偵獲共機11架次(其中進入西南空域2架次)、共艦3艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/02/20,一、日期： 中華民國112年2月19日（星期日）0600時至2月20日（星期一）0600時止。 二、活動動態： 迄0600時止，偵獲共機6架次、共艦4艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。 三、上述期間共機無逾越海峽中線及西南空域，故無提供航跡圖。
112/02/19,一、日期： 中華民國112年2月18日（星期六）0600時至2月19日（星期日）0600時止。 二、活動動態： 迄0600時止，偵獲共機8架次(其中進入西南空域2架次)、共艦4艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/02/18,一、日期： 中華民國112年2月17日（星期五）0600時至2月18日（星期六）0600時止。 二、活動動態： 迄0600時止，偵獲共機24架次(其中逾越海峽中線及其延伸線進入西南空域15架次)、共艦4艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/02/17,一、日期： 中華民國112年2月16日（星期四）0600時至2月17日（星期五）0600時止。 二、活動動態： 迄0600時止，偵獲共機12架次(其中進入西南空域1架次)、共艦3艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/02/16,一、日期： 中華民國112年2月15日（星期三）0600時至2月16日（星期四）0600時止。 二、活動動態： 迄0600時止，偵獲共機18架次(其中逾越海峽中線及其延伸線進入西南空域3架次)、共艦4艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/02/15,一、日期： 中華民國112年2月14日（星期二）0600時2月15日（星期三）0600時止。 二、活動動態： 迄0600時止，偵獲共機6架次、共艦4艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。 三、上述期間共機無逾越海峽中線及西南空域，故無提供航跡圖。
112/02/14,一、日期： 中華民國112年2月13日（星期一）0600時至2月14日（星期二）0600時止。 二、活動動態： 迄0600時止，偵獲共機8架次（其中進入西南空域1架次）、共艦4艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/02/13,一、日期： 中華民國112年2月12日（星期日）0600時至2月13日（星期一）0600時止。 二、活動動態： 迄0600時止，偵獲共機18架次(其中逾越海峽中線及其延伸線進入西南空域11架次)、共艦4艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/02/12,一、日期： 中華民國112年2月11日（星期六）0600時至2月12日（星期日）0600時止。 二、活動動態： 迄0600時止，偵獲共機2架次、共艦4艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。 三、上述期間共機無逾越海峽中線及西南空域，故無提供航跡圖。
112/02/11,一、日期： 中華民國112年2月10日（星期五）0600時至2月11日（星期六）0600時止。 二、活動動態： 迄0600時止，偵獲共機5架次、共艦4艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。 三、上述期間共機無逾越海峽中線及西南空域，故無提供航跡圖。
112/02/10,一、日期： 中華民國112年2月9日（星期四）0600時至2月10日（星期五）0600時止。 二、活動動態： 迄0600時止，偵獲共機2架次、共艦5艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。 三、上述期間共機無逾越海峽中線及西南空域，故無提供航跡圖。
112/02/09,一、日期： 中華民國112年2月8日（星期三）0600時至2月9日（星期四）0600時止。 二、活動動態： 迄0600時止，偵獲共機8架次(其中逾越海峽中線及其延伸線進入西南空域2架次)、共艦5艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/02/08,一、日期： 中華民國112年2月7日（星期二）0600時至2月8日（星期三）0600時止。 二、活動動態： 迄0600時止，偵獲共機9架次（其中進入西南空域1架次）、共艦4艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/02/07,一、日期： 中華民國112年2月6日（星期一）0600時至2月7日（星期二）0600時止。 二、活動動態： 迄0600時止，偵獲共機5架次、共艦4艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。 三、上述期間共機無逾越海峽中線及西南空域，故無提供航跡圖。
112/02/06,一、日期： 中華民國112年2月5日（星期日）0600時至2月6日（星期一）0600時止。 二、活動動態： 迄0600時止，偵獲共艦4艘次，持續在臺海周邊活動。國軍運用任務艦及岸置飛彈系統嚴密監控與應處。 三、上述期間共機無逾越海峽中線及西南空域，故無提供航跡圖。
112/02/05,一、日期： 中華民國112年2月4日（星期六）0600時至2月5日（星期日）0600時止。 二、活動動態： 迄0600時止，偵獲共機6架次（其中進入西南空域2架次）、共艦4艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/02/04,一、日期： 中華民國112年2月3日（星期五）0600時至2月4日（星期六）0600時止。 二、活動動態： 迄0600時止，偵獲共機8架次(其中逾越海峽中線及其延伸線進入西南空域2架次)、共艦4艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/02/03,一、日期： 中華民國112年2月2日（星期四）0600時至2月3日（星期五）0600時止。 二、活動動態： 迄0600時止，偵獲共機14架次(其中逾越海峽中線及其延伸線進入西南空域5架次)、共艦4艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/02/02,一、日期： 中華民國112年2月1日（星期三）0600時至2月2日（星期四）0600時止。 二、活動動態： 迄0600時止，偵獲共機23架次(其中逾越海峽中線及其延伸線進入西南空域17架次)、共艦4艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/02/01,一、日期： 中華民國112年1月31日（星期二）0600時至2月1日（星期三）0600時止。 二、活動動態： 迄0600時止，偵獲共機34架次(其中逾越海峽中線及其延伸線進入西南空域20架次)、共艦9艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/01/31,一、日期： 中華民國112年1月30日（星期一）0600時至1月31日（星期二）0600時止。 二、活動動態： 迄0600時止，偵獲共機9架次(其中進入西南空域2架次)、共艦3艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/01/30,一、日期： 中華民國112年1月29日（星期日）0600時至1月30日（星期一）0600時止。 二、活動動態： 迄0600時止，偵獲共機6架次(其中進入西南空域2架次)、共艦5艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/01/29,一、日期： 中華民國112年1月28日（星期六）0600時至1月29日（星期日）0600時止。 二、活動動態： 迄0600時止，偵獲共機8架次(其中進入西南空域1架次)、共艦4艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/01/28,一、日期： 中華民國112年1月27日（星期五）0600時至1月28日（星期六）0600時止。 二、活動動態： 迄0600時止，偵獲共機3架次、共艦3艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。 三、上述期間共機無逾越海峽中線及西南空域，故無提供航跡圖。
112/01/27,一、日期： 中華民國112年1月26日（星期四）0600時至1月27日（星期五）0600時止。 二、活動動態： 迄0600時止，偵獲共機7架次(其中進入西南空域2架次)、共艦4艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/01/26,一、日期： 中華民國112年1月25日（星期三）0600時至1月26日（星期四）0600時止。 二、活動動態： 迄0600時止，偵獲共機2架次(其中進入西南空域1架次)、共艦3艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/01/25,一、日期： 中華民國112年1月24日（星期二）0600時至1月25日（星期三）0600時止。 二、活動動態： 迄0600時止，偵獲共機4架次、共艦3艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。 三、今日共機無逾越海峽中線及西南空域，故無提供航跡圖。
112/01/24,一、日期： 中華民國112年1月23日（星期一）0600時至1月24日（星期二）0600時止。 二、活動動態： 迄0600時止，偵獲共機1架次、共艦4艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/01/23,一、日期： 中華民國112年1月22日（星期日）0600時至1月23日（星期一）0600時止。 二、活動動態： 迄0600時止，偵獲共機9架次、共艦4艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/01/22,一、日期： 中華民國112年1月21日（星期六）0600時至1月22日（星期日）0600時止。 二、活動動態： 迄0600時止，偵獲共機10架次、共艦4艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/01/21,一、日期： 中華民國112年1月20日（星期五）0600時至1月21日（星期六）0600時止。 二、活動動態： 迄0600時止，偵獲共機14架次(其中進入西南空域1架次)、共艦3艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/01/20,一、日期： 中華民國112年1月19日（星期四）0600時至1月20日（星期五）0600時止。 二、活動動態： 迄0600時止，偵獲共機31架次(其中逾越海峽中線及其延伸線進入西南空域12架次)、共艦4艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/01/19,一、日期： 中華民國112年1月18日（星期三）0600時至1月19日（星期四）0600時止。 二、活動動態： 迄0600時止，偵獲共機16架次(其中逾越海峽中線及其延伸線進入西南空域4架次)、共艦3艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/01/18,一、日期： 中華民國112年1月17日（星期二）0600時至1月18日（星期三）0600時止。 二、活動動態： 迄0600時止，偵獲共機18架次(其中進入西南空域6架次)、共艦3艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/01/17,一、日期： 中華民國112年1月16日（星期一）0600時至1月17日（星期二）0600時止。 二、活動動態： 迄0600時止，偵獲共機8架次(其中進入西南空域1架次)、共艦3艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/01/16,一、日期： 中華民國112年1月15日（星期日）0600時至1月16日（星期一）0600時止。 二、活動動態： 迄0600時止，偵獲共機4架次(其中進入西南空域2架次)、共艦3艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/01/15,一、日期： 中華民國112年1月14日（星期六）0600時至1月15日（星期日）0600時止。 二、活動動態： 迄0600時止，偵獲共機6架次(其中進入西南空域1架次)、共艦4艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
